DATE,MBCURRCIR
1978-05-01,104300.0
1978-06-01,105700.0
1978-07-01,107000.0
1978-08-01,107200.0
1978-09-01,108000.0
1978-10-01,108800.0
1978-11-01,110900.0
1978-12-01,113400.0
1979-01-01,112300.0
1979-02-01,111000.0
1979-03-01,111900.0
1979-04-01,113400.0
1979-05-01,114300.0
1979-06-01,115900.0
1979-07-01,117800.0
1979-08-01,118400.0
1979-09-01,119300.0
1979-10-01,119900.0
1979-11-01,121500.0
1979-12-01,124000.0
1980-01-01,123100.0
1980-02-01,121800.0
1980-03-01,122600.0
1980-04-01,123800.0
1980-05-01,124900.0
1980-06-01,126600.0
1980-07-01,128400.0
1980-08-01,129300.0
1980-09-01,130000.0
1980-10-01,130900.0
1980-11-01,133100.0
1980-12-01,136000.0
1981-01-01,133900.0
1981-02-01,132300.0
1981-03-01,133000.0
1981-04-01,135000.0
1981-05-01,136200.0
1981-06-01,137300.0
1981-07-01,138900.0
1981-08-01,139100.0
1981-09-01,139100.0
1981-10-01,139200.0
1981-11-01,141200.0
1981-12-01,144400.0
1982-01-01,143000.0
1982-02-01,141400.0
1982-03-01,141800.0
1982-04-01,144000.0
1982-05-01,145700.0
1982-06-01,147400.0
1982-07-01,148900.0
1982-08-01,149300.0
1982-09-01,149700.0
1982-10-01,150400.0
1982-11-01,152500.0
1982-12-01,155500.0
1983-01-01,154000.0
1983-02-01,153000.0
1983-03-01,154600.0
1983-04-01,156800.0
1983-05-01,158700.0
1983-06-01,160700.0
1983-07-01,162300.0
1983-08-01,162600.0
1983-09-01,163500.0
1983-10-01,164400.0
1983-11-01,167100.0
1983-12-01,170200.0
1984-01-01,169000.0
1984-02-01,167200.0
1984-03-01,168400.0
1984-04-01,170400.0
1984-05-01,172000.0
1984-06-01,174300.0
1984-07-01,176200.0
1984-08-01,176200.0
1984-09-01,176500.0
1984-10-01,176600.0
1984-11-01,178600.0
1984-12-01,181800.0
1985-01-01,180000.0
1985-02-01,178300.0
1985-03-01,179200.0
1985-04-01,181000.0
1985-05-01,182900.0
1985-06-01,185500.0
1985-07-01,187400.0
1985-08-01,187900.0
1985-09-01,188500.0
1985-10-01,189000.0
1985-11-01,191400.0
1985-12-01,195200.0
1986-01-01,193300.0
1986-02-01,191300.0
1986-03-01,192500.0
1986-04-01,194400.0
1986-05-01,196400.0
1986-06-01,198700.0
1986-07-01,200800.0
1986-08-01,201200.0
1986-09-01,201500.0
1986-10-01,202200.0
1986-11-01,205100.0
1986-12-01,209100.0
1987-01-01,208000.0
1987-02-01,206500.0
